Sector,Year,Industry,Industry price change %,Max increase ticker (increase %),Max volume ticker (volume)
HEALTH CARE,1986,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-27.77,IMMU (35.71),VIVO (8791600)
HEALTH CARE,1993,MAJOR PHARMACEUTICALS,-28.77,AGN (96.12),PFE (3433134000)
HEALTH CARE,2005,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),-29.48,VBIV (1566.71),GILD (4018321200)
HEALTH CARE,1986,MAJOR PHARMACEUTICALS,-29.74,MRK (79.53),PFE (2821723200)
HEALTH CARE,2013,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-29.74,CLDX (245.86),CLDX (527547000)
HEALTH CARE,2004,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-30.03,ICCC (77.67),IDXX (261242400)
HEALTH CARE,1992,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-30.49,IDXX (48.86),IDXX (252601600)
HEALTH CARE,2011,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-31.02,ICCC (45.31),MYGN (209075600)
HEALTH CARE,1984,BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,-31.98,VAR (-30.79),MDT (961606400)
HEALTH CARE,1993,MEDICAL/DENTAL INSTRUMENTS,-32.17,ICUI (65.25),BAX (856748200)
HEALTH CARE,1987,OTHER PHARMACEUTICALS,-32.45,ACET (-30.16),CAH (32263700)
HEALTH CARE,1999,INDUSTRIAL SPECIALTIES,-32.66,AHPI (46.15),STE (138611700)
HEALTH CARE,2005,BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,-32.91,BABY (112.65),MDT (937558300)
HEALTH CARE,2007,PRECISION INSTRUMENTS,-32.92,NEO (-32.92),NEO (12244800)
HEALTH CARE,2006,MEDICAL/DENTAL INSTRUMENTS,-33.23,ICAD (137.9),BSX (2994229000)
HEALTH CARE,2006,BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,-33.25,RMTI (60.95),MDT (1584408000)
HEALTH CARE,2014,MEDICAL/DENTAL INSTRUMENTS,-33.32,CTSO (7553.85),BSX (3034253700)
HEALTH CARE,2008,OTHER PHARMACEUTICALS,-33.96,ACET (28.5),HLF (1178837600)
HEALTH CARE,2001,MAJOR PHARMACEUTICALS,-34.24,LCI (409.09),CELG (3602976800)
HEALTH CARE,2007,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),-35.4,IDRA (148.11),GILD (4022380200)
HEALTH CARE,2007,MAJOR PHARMACEUTICALS,-35.69,CAPR (566.67),PFE (9597994300)
HEALTH CARE,1988,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,-35.74,VIVO (55.56),IMMU (13841400)
